Unique_id,job_42,household_type,studying,insee_code,Activity_type,age_2020,Qualification,Sex,target
12365,"csp_5_5","fm4_1",FALSE,"17179","tact11",45,"EDU1-7","Male","T"
12366,"csp_4_6","fm4_1",FALSE,"17179","tact11",56,"EDU1-6","Female","L"
12369,"csp_7_4","fm4_4",FALSE,"17183","tact21",76,"EDU1-7","Female","T"
12370,"csp_1_3","fm4_2",FALSE,"17183","tact11",65,"EDU1-2","Male","T"
12371,"csp_7_7","fm4_4",FALSE,"17186","tact21",68,"EDU2","Male","L"
12372,"csp_4_6","fm4_1",FALSE,"17186","tact11",33,"EDU1-8","Male","T"
12375,"csp_6_9","fm4_4",FALSE,"17190","tact12",35,"EDU1-3","Male","L"
12376,"csp_8_4","fm4_1",TRUE,"17190","tact22",17,"EDU3","Male","T"
12377,"csp_6_3","fm4_1",FALSE,"17190","tact11",42,"EDU1-3","Male","L"
12378,"csp_7_8","fm4_4",FALSE,"17190","tact21",88,"EDU1-1","Male","T"
12379,"csp_8_5","fm4_1",TRUE,"17190","tact25",20,"EDU1-4","Male","T"
12380,"csp_5_2","fm3_2",FALSE,"17190","tact11",44,"EDU1-8","Female","L"
12381,"csp_8_1","fm4_2",FALSE,"17190","tact12",24,"EDU1-4","Female","L"
12382,"csp_5_2","fm4_1",FALSE,"17191","tact11",55,"EDU1-4","Female","L"
12383,"csp_4_6","fm3_2",TRUE,"17192","tact12",26,"EDU1-5","Male","T"
12386,"csp_8_5","fm4_1",TRUE,"17193","tact22",15,"EDU3","Female","T"
12387,"csp_7_7","fm1_2",FALSE,"17193","tact21",73,"EDU1-1","Female","T"
12388,"csp_7_7","fm4_4",FALSE,"17194","tact21",74,"EDU2","Female","L"
12389,"csp_6_3","fm4_2",FALSE,"17194","tact11",22,"EDU1-3","Male","L"
12390,"csp_6_9","fm4_1",FALSE,"17194","tact11",24,"EDU1-5","Male","L"
12396,"csp_8_5","fm4_1",TRUE,"17197","tact22",15,"EDU3","Female","T"
12399,"csp_4_6","fm4_1",FALSE,"17200","tact11",45,"EDU1-6","Female","L"
12400,"csp_8_4","fm4_2",TRUE,"17200","tact22",24,"EDU1","Male","T"
12402,"csp_3_4","fm4_1",FALSE,"17200","tact11",40,"EDU1-8","Female","L"
12405,"csp_7_8","fm4_4",FALSE,"17200","tact21",85,"EDU2","Male","L"
12406,"csp_3_8","fm4_1",FALSE,"17200","tact11",51,"EDU1-7","Male","T"
12408,"csp_3_4","fm4_1",FALSE,"17202","tact11",50,"EDU1-8","Female","T"
12410,"csp_6_2","fm4_1",FALSE,"17207","tact11",59,"EDU1-3","Male","L"
12411,"csp_7_7","fm4_4",FALSE,"17207","tact21",68,"EDU1-1","Female","T"
12412,"csp_4_7","fm4_2",FALSE,"17207","tact11",61,"EDU1-3","Male","L"
12415,"csp_6_5","fm4_1",FALSE,"17208","tact11",33,"EDU1-3","Female","L"
12417,"csp_7_5","fm4_3",FALSE,"17209","tact21",87,"EDU1-1","Female","T"
12418,"csp_7_7","fm4_4",FALSE,"17210","tact21",61,"EDU1-3","Female","T"
12420,"csp_7_4","fm1_2",FALSE,"17211","tact21",75,"EDU1-9","Female","T"
12423,"csp_7_8","fm4_1",FALSE,"17218","tact21",92,"EDU1-1","Male","T"
12424,"csp_2_1","fm4_2",FALSE,"17218","tact11",37,"EDU1-3","Male","T"
12426,"csp_6_3","fm1_1",FALSE,"17218","tact11",23,"EDU1-3","Male","L"
12427,"csp_3_8","fm4_1",FALSE,"17218","tact11",48,"EDU1-6","Male","L"
12430,"csp_2_2","fm4_1",FALSE,"17219","tact11",59,"EDU3","Male","T"
12432,"csp_4_6","fm4_1",FALSE,"17219","tact11",50,"EDU1-6","Male","T"
12433,"csp_4_7","fm3_2",FALSE,"17219","tact11",35,"EDU1-6","Male","T"
12439,"csp_4_6","fm4_1",TRUE,"17222","tact11",22,"EDU1-3","Male","T"
12441,"csp_4_6","fm1_1",FALSE,"17222","tact11",55,"EDU1-3","Male","L"
12447,"csp_7_4","fm4_4",FALSE,"17224","tact21",70,"EDU1-3","Female","T"
12450,"csp_3_3","fm4_1",FALSE,"17225","tact11",41,"EDU1-6","Female","T"
12454,"csp_7_1","fm4_4",FALSE,"17228","tact21",66,"EDU1-3","Male","T"
12455,"csp_4_3","fm4_1",FALSE,"17228","tact11",41,"EDU1-6","Male","T"
12457,"csp_1_1","fm4_1",FALSE,"17228","tact11",62,"EDU3","Male","T"
12459,"csp_6_9","fm3_2",FALSE,"17229","tact12",25,"EDU1-7","Female","L"
12460,"csp_7_8","fm4_4",FALSE,"17230","tact21",74,"EDU3","Male","T"
12461,"csp_6_3","fm1_1",TRUE,"17230","tact11",38,"EDU1-3","Male","L"
12463,"csp_7_8","fm4_4",FALSE,"17230","tact21",91,"EDU2","Male","L"
12464,"csp_7_5","fm4_4",FALSE,"17232","tact21",63,"EDU1-1","Male","L"
12466,"csp_7_7","fm4_3",FALSE,"17236","tact21",68,"EDU1-2","Male","T"
12467,"csp_7_5","fm4_4",FALSE,"17236","tact21",72,"EDU1-6","Female","L"
12469,"csp_8_5","fm4_2",FALSE,"17239","tact24",55,"EDU1-3","Female","T"
12470,"csp_7_4","fm3_2",FALSE,"17239","tact21",85,"EDU1-1","Female","T"
12471,"csp_7_7","fm4_4",FALSE,"17239","tact21",76,"EDU1-1","Female","T"
12474,"csp_5_6","fm4_1",FALSE,"17240","tact11",60,"EDU1-3","Female","L"
12478,"csp_8_4","fm1_1",TRUE,"17241","tact22",20,"EDU1-4","Male","L"
12479,"csp_4_3","fm4_1",FALSE,"17242","tact11",33,"EDU1-8","Female","L"
12480,"csp_7_4","fm4_4",FALSE,"17243","tact21",73,"EDU1-6","Female","L"
12481,"csp_2_2","fm4_1",FALSE,"17244","tact11",35,"EDU1-3","Male","T"
12483,"csp_8_4","fm4_3",TRUE,"17247","tact22",18,"EDU1-2","Female","T"
12486,"csp_4_8","fm4_1",FALSE,"17248","tact11",40,"EDU1-3","Male","L"
12487,"csp_7_7","fm4_4",FALSE,"17248","tact21",55,"EDU1-4","Female","L"
12488,"csp_7_7","fm4_4",FALSE,"17248","tact21",80,"EDU1-7","Male","T"
12490,"csp_7_7","fm4_4",FALSE,"17250","tact21",69,"EDU1-2","Female","T"
12491,"csp_5_2","fm4_1",FALSE,"17253","tact11",52,"EDU1-3","Female","L"
12495,"csp_3_3","fm4_1",FALSE,"17262","tact11",35,"EDU1-8","Male","T"
12499,"csp_7_4","fm4_4",FALSE,"17263","tact21",72,"EDU1-8","Male","L"
12501,"csp_5_2","fm4_1",FALSE,"17264","tact11",47,"EDU1-5","Male","T"
12502,"csp_2_1","fm4_1",FALSE,"17264","tact11",51,"EDU1-7","Male","T"
12503,"csp_7_8","fm4_4",FALSE,"17264","tact21",88,"EDU1-1","Male","T"
12504,"csp_6_8","fm3_1",FALSE,"17264","tact11",52,"EDU3","Male","L"
12505,"csp_8_5","fm4_1",TRUE,"17264","tact22",15,"EDU3","Female","T"
12507,"csp_3_4","fm4_2",FALSE,"17264","tact11",50,"EDU1-8","Male","L"
12510,"csp_7_2","fm1_2",FALSE,"17265","tact21",78,"EDU1-3","Female","T"
12513,"csp_5_5","fm4_1",FALSE,"17267","tact11",47,"EDU1-3","Female","L"
12519,"csp_4_2","fm4_1",FALSE,"17274","tact11",45,"EDU1-9","Male","T"
12520,"csp_8_4","fm4_1",TRUE,"17274","tact22",17,"EDU3","Female","T"
12522,"csp_2_1","fm4_1",FALSE,"17274","tact11",44,"EDU1-3","Male","T"
12524,"csp_6_2","fm3_2",FALSE,"17274","tact11",40,"EDU1-5","Male","T"
12525,"csp_6_9","fm4_2",FALSE,"17274","tact11",46,"EDU3","Male","L"
12527,"csp_3_1","fm4_1",FALSE,"17274","tact11",52,"EDU1-7","Female","T"
12530,"csp_7_2","fm3_2",FALSE,"17274","tact21",96,"EDU1-1","Female","T"
12535,"csp_7_8","fm3_1",FALSE,"17280","tact21",73,"EDU1-3","Male","T"
12536,"csp_8_4","fm3_2",TRUE,"17280","tact22",23,"EDU1-3","Female","L"
12537,"csp_6_3","fm1_1",FALSE,"17283","tact11",53,"EDU1-3","Male","L"
12538,"csp_7_1","fm2_0",FALSE,"17283","tact21",75,"EDU2","Female","L"
12539,"csp_5_6","fm4_1",FALSE,"17283","tact11",57,"EDU2","Female","T"
12549,"csp_7_7","fm1_1",FALSE,"17289","tact21",78,"EDU1-4","Male","L"
12554,"csp_7_7","fm4_4",FALSE,"17291","tact21",68,"EDU1-1","Female","T"
12557,"csp_7_4","fm4_4",FALSE,"17291","tact21",69,"EDU1-8","Male","L"
12558,"csp_8_6","fm1_1",FALSE,"17291","tact25",70,"EDU1-3","Male","T"
12559,"csp_8_5","fm2_0",TRUE,"17291","tact22",15,"EDU3","Male","T"
12560,"csp_6_3","fm4_3",FALSE,"17291","tact12",28,"EDU1-3","Male","T"
12563,"csp_6_3","fm4_1",FALSE,"17291","tact11",39,"EDU3","Male","L"
12568,"csp_7_7","fm1_2",FALSE,"17293","tact21",97,"EDU1-1","Female","T"
12571,"csp_5_6","fm1_2",FALSE,"17295","tact12",44,"EDU1-1","Female","L"
12572,"csp_7_5","fm4_4",FALSE,"17296","tact21",82,"EDU1-1","Female","T"
12575,"csp_1_3","fm4_2",FALSE,"17297","tact11",49,"EDU1-3","Male","T"
12578,"csp_7_7","fm4_2",FALSE,"17299","tact21",81,"EDU1-3","Male","T"
12579,"csp_3_3","fm1_2",FALSE,"17299","tact11",55,"EDU1-8","Female","T"
12580,"csp_4_6","fm1_1",FALSE,"17299","tact11",52,"EDU1-6","Male","L"
12582,"csp_6_4","fm4_1",FALSE,"17299","tact11",54,"EDU1-3","Female","L"
12586,"csp_7_7","fm1_2",FALSE,"17299","tact21",73,"EDU1-1","Female","T"
12588,"csp_5_2","fm4_1",FALSE,"17299","tact11",25,"EDU1-5","Female","L"
12590,"csp_5_2","fm4_1",FALSE,"17299","tact11",52,"EDU1-3","Female","T"
12592,"csp_8_5","fm4_3",TRUE,"17299","tact22",16,"EDU3","Male","T"
12593,"csp_7_7","fm1_2",FALSE,"17299","tact21",86,"EDU1-3","Female","T"
12595,"csp_8_4","fm1_2",TRUE,"17299","tact22",21,"EDU1-4","Female","T"
12597,"csp_7_7","fm1_2",FALSE,"17299","tact21",67,"EDU1-1","Female","T"
12600,"csp_7_5","fm1_1",FALSE,"17299","tact21",62,"EDU1-2","Male","L"
12601,"csp_7_2","fm1_2",FALSE,"17299","tact21",83,"EDU1-1","Female","T"
12602,"csp_5_6","fm4_1",FALSE,"17299","tact11",37,"EDU1-4","Female","L"
12603,"csp_6_3","fm3_2",FALSE,"17299","tact11",56,"EDU1-3","Male","T"
12604,"csp_5_3","fm4_1",FALSE,"17299","tact11",40,"EDU1-4","Male","T"
12605,"csp_7_5","fm4_4",FALSE,"17299","tact21",64,"EDU1-7","Female","T"
12610,"csp_4_6","fm4_1",FALSE,"17299","tact11",29,"EDU1-5","Female","T"
12616,"csp_7_4","fm1_1",FALSE,"17300","tact21",68,"EDU1-9","Male","L"
12618,"csp_7_7","fm4_4",FALSE,"17300","tact21",76,"EDU1-2","Female","L"
12621,"csp_8_5","fm3_2",TRUE,"17300","tact22",15,"EDU3","Female","T"
12622,"csp_8_1","fm4_4",FALSE,"17300","tact12",18,"EDU2","Male","L"
12623,"csp_5_5","fm4_1",FALSE,"17300","tact11",53,"EDU1-3","Female","L"
12628,"csp_5_6","fm4_1",FALSE,"17300","tact11",63,"EDU1-3","Female","T"
12630,"csp_7_7","fm1_2",FALSE,"17300","tact21",80,"EDU1-1","Female","T"
12632,"csp_7_7","fm4_4",FALSE,"17300","tact21",66,"EDU1-3","Female","L"
12636,"csp_7_1","fm4_3",FALSE,"17300","tact21",70,"EDU1-3","Male","T"
12639,"csp_8_4","fm3_2",TRUE,"17300","tact22",17,"EDU1-2","Male","L"
12640,"csp_7_5","fm2_0",FALSE,"17300","tact21",64,"EDU1-3","Female","T"
12641,"csp_6_7","fm1_2",FALSE,"17300","tact12",57,"EDU3","Female","L"
12642,"csp_4_6","fm4_4",FALSE,"17300","tact12",26,"EDU1-2","Female","L"
12643,"csp_5_4","fm1_1",TRUE,"17300","tact12",23,"EDU1-4","Male","T"
12644,"csp_5_2","fm4_1",FALSE,"17300","tact11",53,"EDU1-2","Female","L"
12645,"csp_7_8","fm4_4",FALSE,"17300","tact21",72,"EDU1-4","Male","L"
12646,"csp_3_7","fm1_2",FALSE,"17300","tact11",46,"EDU1-8","Female","T"
12647,"csp_7_5","fm1_2",FALSE,"17300","tact21",95,"EDU1-4","Female","T"
12649,"csp_5_2","fm4_1",FALSE,"17300","tact11",42,"EDU1-3","Female","L"
12650,"csp_6_4","fm3_2",FALSE,"17300","tact11",50,"EDU1-3","Male","L"
12652,"csp_2_1","fm4_2",FALSE,"17300","tact11",36,"EDU1-3","Male","L"
12661,"csp_7_1","fm4_4",FALSE,"17300","tact21",78,"EDU1-1","Female","L"
12662,"csp_5_5","fm4_1",FALSE,"17300","tact11",41,"EDU3","Female","L"
12663,"csp_7_7","fm4_4",FALSE,"17300","tact21",78,"EDU1-4","Female","L"
12664,"csp_6_9","fm1_1",FALSE,"17300","tact12",29,"EDU3","Male","L"
12665,"csp_4_5","fm4_1",FALSE,"17300","tact11",62,"EDU1-4","Female","L"
12672,"csp_3_1","fm4_1",FALSE,"17300","tact11",40,"EDU1-5","Female","L"
12675,"csp_7_7","fm4_4",FALSE,"17300","tact21",66,"EDU1-3","Female","T"
12679,"csp_8_5","fm2_0",FALSE,"17300","tact25",53,"EDU3","Male","T"
12680,"csp_4_6","fm4_2",FALSE,"17300","tact11",71,"EDU1-3","Male","L"
12683,"csp_7_7","fm4_4",FALSE,"17300","tact21",61,"EDU3","Male","T"
12684,"csp_7_8","fm4_4",FALSE,"17300","tact21",82,"EDU1-1","Female","T"
12689,"csp_4_2","fm4_1",FALSE,"17300","tact11",36,"EDU1-7","Female","L"
12690,"csp_5_6","fm4_4",FALSE,"17300","tact12",44,"EDU1-3","Female","T"
12691,"csp_7_7","fm4_4",FALSE,"17300","tact21",70,"EDU1-2","Male","L"
12693,"csp_6_9","fm1_1",FALSE,"17300","tact11",71,"EDU1-1","Male","L"
12694,"csp_7_8","fm2_0",FALSE,"17300","tact21",69,"EDU1-3","Male","T"
12695,"csp_5_6","fm4_1",FALSE,"17300","tact11",59,"EDU3","Female","T"
12696,"csp_2_2","fm4_1",FALSE,"17300","tact11",54,"EDU1-7","Female","T"
12698,"csp_7_8","fm1_1",FALSE,"17300","tact21",72,"EDU2","Male","L"
12699,"csp_2_1","fm4_1",FALSE,"17300","tact11",48,"EDU1-3","Male","T"
12702,"csp_5_5","fm4_1",FALSE,"17300","tact11",34,"EDU1-5","Male","L"
12703,"csp_7_7","fm4_4",FALSE,"17300","tact21",64,"EDU1-3","Male","L"
12705,"csp_6_7","fm4_1",FALSE,"17300","tact11",40,"EDU3","Male","L"
12706,"csp_6_8","fm2_0",FALSE,"17300","tact11",55,"EDU2","Male","L"
12709,"csp_6_4","fm4_1",FALSE,"17300","tact11",55,"EDU1-5","Male","L"
12712,"csp_7_4","fm4_4",FALSE,"17300","tact21",77,"EDU1-3","Male","L"
12713,"csp_8_5","fm4_1",TRUE,"17300","tact22",15,"EDU3","Female","L"
12714,"csp_7_4","fm4_4",FALSE,"17300","tact21",84,"EDU1-8","Male","L"
12715,"csp_7_2","fm1_1",FALSE,"17300","tact21",92,"EDU1-1","Male","T"
12717,"csp_8_4","fm3_2",TRUE,"17300","tact22",17,"EDU1-2","Male","L"
12718,"csp_8_5","fm4_2",FALSE,"17300","tact25",46,"EDU1-7","Female","T"
12719,"csp_7_8","fm3_2",FALSE,"17300","tact21",71,"EDU1-2","Female","L"
12721,"csp_7_1","fm1_2",FALSE,"17300","tact21",93,"EDU1-1","Female","T"
12722,"csp_4_7","fm4_1",FALSE,"17300","tact11",50,"EDU1-6","Male","L"
12723,"csp_7_7","fm4_4",FALSE,"17300","tact21",88,"EDU1-8","Male","T"
12724,"csp_5_4","fm1_2",FALSE,"17300","tact11",39,"EDU1-6","Female","L"
12726,"csp_6_9","fm2_0",FALSE,"17300","tact12",44,"EDU1-3","Male","L"
12727,"csp_5_3","fm4_3",TRUE,"17300","tact11",20,"EDU1-4","Male","T"
12730,"csp_4_6","fm4_2",FALSE,"17302","tact12",49,"EDU1-4","Female","L"
12731,"csp_6_7","fm4_1",FALSE,"17303","tact11",46,"EDU1-3","Male","L"
12732,"csp_8_4","fm3_2",TRUE,"17306","tact22",23,"EDU1-4","Female","T"
12734,"csp_6_7","fm4_2",FALSE,"17306","tact11",72,"EDU1-3","Male","T"
12737,"csp_7_7","fm4_4",FALSE,"17306","tact21",92,"EDU1-2","Female","L"
12740,"csp_5_5","fm4_1",TRUE,"17306","tact11",21,"EDU1-2","Male","T"
12741,"csp_3_7","fm4_1",FALSE,"17306","tact11",53,"EDU1-4","Male","L"
12743,"csp_5_2","fm4_1",FALSE,"17306","tact11",56,"EDU1-3","Female","L"
12744,"csp_8_5","fm4_4",FALSE,"17306","tact24",60,"EDU3","Female","T"
12745,"csp_5_2","fm4_1",FALSE,"17306","tact11",44,"EDU1-5","Male","L"
12747,"csp_7_8","fm4_2",FALSE,"17306","tact21",105,"EDU1-4","Female","T"
12748,"csp_6_7","fm4_1",FALSE,"17306","tact11",42,"EDU1-3","Male","L"
12749,"csp_3_8","fm3_2",FALSE,"17306","tact12",26,"EDU1-8","Male","T"
12750,"csp_7_8","fm4_4",FALSE,"17306","tact21",86,"EDU1-1","Female","L"
12752,"csp_7_8","fm4_4",FALSE,"17306","tact21",90,"EDU1-3","Male","T"
12753,"csp_2_2","fm4_1",FALSE,"17306","tact11",63,"EDU1-5","Male","T"
12755,"csp_8_1","fm3_2",FALSE,"17306","tact12",34,"EDU1-5","Female","L"
12757,"csp_7_8","fm4_4",FALSE,"17306","tact21",69,"EDU2","Female","L"
12758,"csp_6_3","fm3_2",FALSE,"17306","tact11",41,"EDU1-5","Female","T"
12761,"csp_4_3","fm3_1",FALSE,"17306","tact11",32,"EDU1-7","Male","T"
12762,"csp_8_4","fm3_1",TRUE,"17306","tact22",19,"EDU1-2","Male","T"
12763,"csp_7_2","fm4_4",FALSE,"17306","tact21",68,"EDU1-1","Female","L"
12768,"csp_8_4","fm1_2",TRUE,"17307","tact22",21,"EDU1-4","Female","T"
12769,"csp_4_3","fm4_1",FALSE,"17307","tact11",53,"EDU1-5","Female","T"
12770,"csp_5_2","fm4_1",FALSE,"17307","tact11",39,"EDU1-7","Female","T"
12772,"csp_7_1","fm4_4",FALSE,"17308","tact21",89,"EDU1-1","Female","T"
12773,"csp_7_5","fm4_4",FALSE,"17308","tact21",75,"EDU1-3","Male","T"
12774,"csp_7_5","fm4_4",FALSE,"17308","tact21",73,"EDU1-4","Female","L"
12776,"csp_8_5","fm4_3",FALSE,"17308","tact25",41,"EDU1-3","Male","T"
12778,"csp_5_2","fm3_2",FALSE,"17308","tact11",64,"EDU1-1","Female","L"
12779,"csp_2_2","fm4_1",FALSE,"17308","tact11",53,"EDU1-3","Male","T"
12780,"csp_6_5","fm4_1",FALSE,"17309","tact11",45,"EDU1-3","Male","L"
12783,"csp_1_3","fm4_1",FALSE,"17310","tact11",46,"EDU1-6","Female","T"
12785,"csp_7_8","fm4_4",FALSE,"17311","tact21",86,"EDU1-1","Female","T"
12787,"csp_7_8","fm4_3",FALSE,"17311","tact21",67,"EDU1-3","Male","T"
12788,"csp_6_5","fm2_0",FALSE,"17311","tact11",59,"EDU1-3","Male","T"
12790,"csp_3_8","fm4_1",FALSE,"17315","tact11",25,"EDU1-8","Male","T"
12793,"csp_8_6","fm1_2",FALSE,"17320","tact21",82,"EDU1-1","Female","T"
12794,"csp_5_3","fm4_1",FALSE,"17320","tact11",49,"EDU3","Male","T"
12795,"csp_7_5","fm4_4",FALSE,"17321","tact21",82,"EDU1-4","Female","T"
12796,"csp_8_5","fm3_2",TRUE,"17321","tact22",15,"EDU3","Female","T"
12798,"csp_8_5","fm4_2",FALSE,"17323","tact24",63,"EDU1-2","Female","T"
12799,"csp_1_1","fm1_1",FALSE,"17323","tact11",69,"EDU1-6","Male","T"
12800,"csp_7_7","fm4_4",FALSE,"17328","tact21",76,"EDU1-1","Female","T"
12806,"csp_3_7","fm1_2",FALSE,"17333","tact11",53,"EDU1-7","Female","T"
12808,"csp_5_2","fm4_1",FALSE,"17333","tact11",37,"EDU1-4","Female","L"
12810,"csp_5_4","fm4_1",TRUE,"17333","tact11",21,"EDU1-7","Female","T"
12811,"csp_5_6","fm1_2",FALSE,"17333","tact11",49,"EDU1-6","Female","T"
12812,"csp_4_3","fm1_2",FALSE,"17333","tact11",25,"EDU1-8","Female","L"
12816,"csp_7_2","fm1_1",FALSE,"17335","tact21",75,"EDU1-1","Male","L"
12818,"csp_5_5","fm1_2",FALSE,"17336","tact11",20,"EDU1-3","Female","L"
12819,"csp_3_4","fm1_2",FALSE,"17336","tact11",38,"EDU1-8","Female","T"
12821,"csp_7_7","fm1_2",FALSE,"17336","tact21",91,"EDU1-3","Female","T"
12822,"csp_2_2","fm4_1",FALSE,"17336","tact11",41,"EDU1-4","Male","T"
12823,"csp_6_5","fm1_1",FALSE,"17336","tact11",50,"EDU1-3","Male","L"
12824,"csp_7_7","fm1_2",FALSE,"17336","tact21",80,"EDU1-1","Female","T"
12825,"csp_7_8","fm1_1",FALSE,"17336","tact21",67,"EDU1-1","Male","L"
12826,"csp_8_5","fm4_4",FALSE,"17337","tact24",62,"EDU1-3","Female","T"
12829,"csp_7_4","fm4_4",FALSE,"17337","tact21",67,"EDU1-8","Male","L"
12830,"csp_5_2","fm1_2",FALSE,"17337","tact11",53,"EDU1-6","Female","T"
12831,"csp_7_7","fm4_4",FALSE,"17337","tact21",88,"EDU1-3","Male","T"
12832,"csp_4_6","fm4_1",FALSE,"17337","tact11",29,"EDU1-6","Male","L"
12837,"csp_6_2","fm4_1",FALSE,"17339","tact11",59,"EDU1-3","Male","L"
12838,"csp_6_3","fm1_1",FALSE,"17339","tact11",35,"EDU1-6","Male","L"
12840,"csp_7_8","fm1_2",FALSE,"17340","tact21",77,"EDU1-3","Female","T"
12842,"csp_6_7","fm4_1",FALSE,"17344","tact11",46,"EDU1-3","Male","L"
12846,"csp_5_2","fm4_1",FALSE,"17344","tact11",52,"EDU1-3","Male","L"
12849,"csp_7_5","fm4_2",FALSE,"17346","tact21",73,"EDU1-3","Female","T"
12851,"csp_7_4","fm4_4",FALSE,"17347","tact21",77,"EDU1-3","Male","T"
12854,"csp_5_5","fm4_1",FALSE,"17347","tact11",47,"EDU1-3","Female","L"
12855,"csp_7_2","fm1_2",FALSE,"17347","tact21",72,"EDU1-6","Female","T"
12857,"csp_7_1","fm4_4",FALSE,"17347","tact21",73,"EDU1-5","Male","T"
12858,"csp_6_2","fm4_1",FALSE,"17347","tact11",34,"EDU1-6","Male","L"
12860,"csp_7_8","fm4_4",FALSE,"17347","tact21",82,"EDU1-1","Female","T"
12861,"csp_7_7","fm1_2",FALSE,"17347","tact21",64,"EDU3","Female","T"
12864,"csp_7_7","fm4_4",FALSE,"17347","tact21",65,"EDU1-6","Female","T"
12866,"csp_5_3","fm1_1",FALSE,"17347","tact11",20,"EDU1-4","Male","L"
12868,"csp_4_7","fm3_1",TRUE,"17347","tact11",19,"EDU1-5","Male","T"
12870,"csp_3_4","fm1_1",TRUE,"17350","tact11",23,"EDU1-7","Male","T"
12873,"csp_8_5","fm4_4",TRUE,"17351","tact25",16,"EDU1","Male","T"
12874,"csp_3_4","fm4_1",FALSE,"17351","tact11",43,"EDU1-7","Female","T"
12877,"csp_7_7","fm4_4",FALSE,"17353","tact21",67,"EDU1-5","Female","T"
12879,"csp_7_8","fm4_3",FALSE,"17353","tact21",64,"EDU1-3","Male","T"
12880,"csp_5_4","fm4_4",FALSE,"17353","tact11",38,"EDU1-7","Male","T"
12884,"csp_4_2","fm1_2",FALSE,"17359","tact11",53,"EDU1-7","Female","T"
12885,"csp_5_6","fm1_2",FALSE,"17360","tact11",26,"EDU1-3","Female","T"
12887,"csp_6_8","fm4_1",FALSE,"17360","tact11",55,"EDU1-3","Female","L"
12889,"csp_6_2","fm4_3",FALSE,"17360","tact11",27,"EDU1-8","Male","L"
12890,"csp_5_6","fm4_3",FALSE,"17363","tact11",51,"EDU1-2","Female","T"
12892,"csp_8_5","fm4_3",FALSE,"17364","tact24",45,"EDU1-2","Male","T"
12893,"csp_7_7","fm4_4",FALSE,"17364","tact21",68,"EDU1-1","Female","T"
12896,"csp_5_2","fm1_2",FALSE,"17369","tact11",53,"EDU1-4","Female","L"
12898,"csp_7_7","fm1_2",FALSE,"17375","tact21",80,"EDU1-1","Female","T"
12899,"csp_7_5","fm1_2",FALSE,"17375","tact21",95,"EDU1-4","Female","T"
12902,"csp_6_2","fm4_3",FALSE,"17376","tact12",49,"EDU2","Male","T"
12905,"csp_7_8","fm4_4",FALSE,"17376","tact21",92,"EDU2","Male","L"
12906,"csp_7_7","fm4_4",FALSE,"17376","tact21",61,"EDU1-3","Female","T"
12907,"csp_7_1","fm1_1",FALSE,"17378","tact21",89,"EDU1-1","Male","T"
12908,"csp_7_8","fm1_2",FALSE,"17378","tact21",78,"EDU3","Female","T"
12909,"csp_7_4","fm4_4",FALSE,"17380","tact21",67,"EDU1-8","Male","L"
12912,"csp_8_5","fm4_4",FALSE,"17380","tact25",43,"EDU1-3","Male","T"
12914,"csp_5_2","fm4_3",FALSE,"17380","tact11",61,"EDU1-2","Female","L"
12916,"csp_6_9","fm4_1",FALSE,"17385","tact11",25,"EDU1-3","Male","T"
12917,"csp_7_5","fm4_4",FALSE,"17385","tact21",72,"EDU1-6","Female","L"
12918,"csp_7_1","fm1_2",FALSE,"17385","tact21",71,"EDU1-1","Female","T"
12920,"csp_4_2","fm4_3",FALSE,"17385","tact11",28,"EDU1-6","Male","T"
12921,"csp_4_7","fm1_2",FALSE,"17385","tact11",52,"EDU1-6","Female","L"
12929,"csp_3_8","fm1_1",FALSE,"17385","tact11",38,"EDU1-8","Male","L"
12932,"csp_7_7","fm1_2",FALSE,"17387","tact21",97,"EDU1-4","Female","T"
12933,"csp_8_5","fm3_2",FALSE,"17387","tact25",19,"EDU2","Male","T"
12939,"csp_3_4","fm1_2",FALSE,"17394","tact11",57,"EDU1-9","Female","T"
12940,"csp_7_8","fm4_4",FALSE,"17396","tact21",74,"EDU1-3","Male","T"
12941,"csp_7_4","fm4_3",FALSE,"17397","tact21",65,"EDU1-3","Male","T"
12942,"csp_8_4","fm3_2",TRUE,"17397","tact22",17,"EDU1-2","Male","L"
12943,"csp_8_5","fm4_1",TRUE,"17397","tact22",15,"EDU3","Female","L"
12944,"csp_3_7","fm4_3",FALSE,"17400","tact11",32,"EDU1-8","Male","T"
12947,"csp_3_1","fm4_2",FALSE,"17403","tact11",65,"EDU1-8","Male","T"
12948,"csp_8_5","fm1_1",FALSE,"17403","tact25",59,"EDU1-3","Male","T"
12949,"csp_7_7","fm4_4",FALSE,"17407","tact21",82,"EDU1-2","Female","T"
12950,"csp_8_5","fm4_4",FALSE,"17407","tact25",53,"EDU1-3","Male","T"
12953,"csp_2_2","fm1_1",FALSE,"17407","tact11",59,"EDU3","Male","T"
12954,"csp_6_3","fm4_4",FALSE,"17407","tact12",32,"EDU2","Male","L"
12955,"csp_5_2","fm4_1",FALSE,"17407","tact11",52,"EDU1-3","Female","L"
12958,"csp_4_6","fm4_1",FALSE,"17407","tact11",41,"EDU1-6","Male","L"
12960,"csp_6_9","fm3_2",TRUE,"17407","tact12",21,"EDU1-3","Female","T"
12963,"csp_7_2","fm1_2",FALSE,"17409","tact21",80,"EDU1-3","Female","T"
